# Run Date: 2025-06-09 20:13:37
# Command: mimi_kegg_extract -l 40 -u 1000 -o data/processed/kegg_compounds_40_1000Da_v3.tsv
# Number ofcompounds: 16089     
#
# compound         KEGG Compound Database
# cpd              Release 114.0+/06-09, Jun 25
#                  Kanehisa Laboratories
# 
# Mass range: 40.0-1000.0 Da
#
CF	ID	Name
C15H10O5	C15222	3,6,4'-Trihydroxyflavone
C21H34O	C00891	Pregnan-21-al
C15H12Cl2O2	C14237	4-[2,2-Dichloro-1-(4-methoxyphenyl)ethenyl]phenol
C20H16O5	C10529	Sojagol
C6H8O7	C03600	Carboxymethyloxysuccinate
C8H13NO4	C12988	N2-Acetyl-L-aminoadipate semialdehyde
C13H21NO3	C07053	Isoetharine
C21H18ClNO3	C11034	MK-129
C14H9Cl3	C06637	1-Chloro-2,2-bis(4'-chlorophenyl)ethylene
C18H22FN5O8S	C18429	Flucetosulfuron
C4H6O4	C00042	Succinate
C10H13ClN2S	C19026	Chloromethiuron
C35H38MgN4O4	C21433	12-Ethyl-8-propylbacteriochlorophyllide d
C12H3Cl5O	C18105	1,2,3,7,8-Pentachlorodibenzofuran
C21H22ClN3O2	C18491	Tolfenpyrad
C15H10O4	C10200	Anhydroglycinol
C12H22O11	C19773	3-O-alpha-D-Mannopyranosyl-alpha-D-mannopyranose
C20H30O3	C14732	5-OxoETE
C19H21NO8	C10686	Glycoperine
C23H45N5O14	C00832	Paromomycin
C9H7NO4	C15566	D-Dopachrome
C7H13O8P	C21415	Valienol 7-phosphate
C3H11NO7P2	C07395	Pamidronate
C22H22N2O8	C03206	5a,11a-Dehydrotetracycline
C13H18O7	C16964	Gastrodin
C21H26NO3	C07818	Mepenzolate
C26H21N3O2	C00982	Renilla luciferin
C14H10N6O9	C16412	2,4',6,6'-Tetranitro-2',4-azoxytoluene
C7H7ClO2	C03591	5-Chloro-3-methylcatechol
C36H62O31	C06217	Cellohexaose
C6H3BrO2	C14846	4-Bromo-3,5-cyclohexadiene-1,2-dione
C21H30O3	C15409	17beta-Hydroxy-A-norandrost-3(5)-en-2-one propionate
C6H6Cl2O2	C07093	3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
C11H12O5	C22571	5-Hydroxy-5-(4-hydroxyphenyl)-3-oxopentanoate
C17H13ClN2O2S	C11719	L787257
C45H38O18	C17624	Cinnamtannin A1
C14H15N3	C03764	para-(Dimethylamino)azobenzene
C6H11NO5	C06034	4-Hydroxy-4-methylglutamate
C15H19NO2	C11381	Benzoyltropein
C22H31NO6	C08690	Icacine
C5H5N5O	C22499	8-Hydroxyadenine
C40H63NO10	C11055	Spinosyn B
C27H48O6	C16260	Scymnol
C19H24N2O4	C07805	Formoterol
C17H21NO4	C12172	11alpha-Hydroxygalanthamine
C20H23NO4	C07253	Naltrexone
C8H13NO2	C10321	Heliotridine
C12H9ClO4	C06587	2-Hydroxy-6-oxo-6-(4'-chlorophenyl)-hexa-2,4-dienoate
C8H5Cl3O3	C07100	2,4,5-Trichlorophenoxyacetic acid
C12H20N4O5	C20962	Dapdiamide A
C9H7N	C06413	Quinoline
C18H32O2	C08321	Malvalic acid
C20H21NO4	C06533	Papaverine
C22H19Cl2NO3	C10984	Cypermethrin
C6H15N4O5P	C05945	L-Arginine phosphate
C6H10O7	C08348	Galacturonic acid
C15H26O	C03220	(2Z,6E)-Farnesol
C10H20O7P2	C05308	Linalyl diphosphate
C15H10O7	C10078	Hypolaetin
C22H32O3S	C14973	17beta-Hydroxy-7alpha-mercaptoandrost-4-en-3-one 7-propionate
C24H22FNO	C22771	[1-(5-Fluoropentyl)-1H-indol-3-yl](naphthalen-1-yl)methanone
C19H30O3	C14606	3alpha,11beta-Dihydroxy-5alpha-androstane-17-one
C6H10O6	C05410	Gulono-1,4-lactone
C15H26O	C20172	Cubebol
C18H25NO6	C10279	Angularine
C30H40O2	C20894	beta-Citraurin
C11H8O3	C03203	1-Hydroxy-2-naphthoate
C27H25O18	C16290	Delphinidin 3-O-3'',6''-O-dimalonylglucoside
C3H7NO	C01995	Acetone oxime
C30H62O10	C13493	Polidocanol
C6H10O6	C01040	L-Gulono-1,4-lactone
C9H14N4O3	C00386	Carnosine
C16H17N3OS	C11593	E3040
C9H7NO	C06415	2(1H)-Quinolinone
C31H42N4O4	C10005	Integerrenine
C5H10N2O3S	C01419	Cys-Gly
C19H22O7	C09138	Nagilactone C
C6H12O6	C06152	muco-Inositol
C30H40O2	C16146	4,4'-Diaponeurosporenic acid
C14H17NO7	C01855	Taxiphyllin
C4H6O2	C19309	Vinyl acetate
C8H11NO3	C00314	Pyridoxine
C12H8N2	C00604	1,10-Phenanthroline
C9H7NO	C21890	4-[(E)-2-Isocyanoethenyl]phenol
C21H16	C19381	5,6-Cyclopenteno-1,2-benzanthracene
C27H46O3	C05453	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one
C4H6ClF3O	C14700	2-Chloro-1,1,2-trifluoroethyl ethyl ether
C26H41NO3	C12158	Myxalamid A
C6H12O6	C21523	L-Tagatose
C15H24	C09691	Isocaryophyllene
C9H8BrNO4S2	C17086	Tyrindoxyl sulfate
C7H7NOS	C16283	Thiobenzamide S-oxide
C9H15NO3S	C06867	Captopril
C6H6Cl6	C06988	beta-1,2,3,4,5,6-Hexachlorocyclohexane
C21H32O4	C05478	3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione
C17H20O6	C09298	Arctolide
C29H44N7O19P3S	C19946	3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde
C15H23N5O11P2	C16429	trans-Zeatin riboside diphosphate
C43H49N7O10	C11269	Virginiamycin S1
C15H10ClF3N2O3	C18615	Triflumuron
C6H13O9P	C03546	myo-Inositol 4-phosphate
C21H20O5	C11579	8-(1,1-Dimethylallyl)-3-methylgalangin
C2H6N2O	C16363	N-Methylurea
C5H6O4	C02800	4,5-Dioxopentanoate
C6H10O5	C03761	3-Hydroxy-3-methylglutarate
C23H27NO9	C16578	Morphine-6-glucuronide
C34H37N3O6	C18069	N1,N5,N10-Tricoumaroyl spermidine
C17H24O10	C09802	Verbenalin
C18H34O4	C20702	(8E,10S)-10-Hydroperoxyoctadeca-8-enoate
C11H11N5O	C20291	N-Hydroxy-MeIQx
C20H21NO4	C17898	Sinactine
C23H34O15	C16965	Genipin 1-beta-gentiobioside
C12H18O2	C14305	4-Hexyloxyphenol
C6H5IO	C01874	2-Iodophenol
C15H20O3	C09534	Pseudoivalin
C26H32O9	C08768	Ichangin
C12H6Cl4O	C15248	4-Hydroxy-2',3,5,5'-tetrachlorobiphenyl
C20H23N5O6S	C06839	Azlocillin
C17H21N4O10P	C22238	FMN-N5-oxide
C21H24O4	C14637	16beta-Hydroxy-3,11-dioxopregna-4,17(20)-dien-21-oic acid, gamma-lactone
C31H48O2	C03313	Phylloquinol
C19H26O2	C20217	Cannabidivarin
C13H10O4	C16263	2,3-Dihydroxy-2'-carboxybiphenyl
C10H10N2O	C13008	Edaravone
C44H36N2O9	C12197	(+/-)-Bocconarborine B
